city,country,datetime,lat,long,maxtemp,humidity,cloudiness,windspeed
Deputatsky,RU,1633808935,69.3,139.9,16.83,87,100,5.08
Lubango,AO,1633809024,-14.9172,13.4925,70.47,36,58,3.47
Bethel,US,1633809026,41.3712,-73.414,66.36,81,90,1.99
Thompson,CA,1633808745,55.7435,-97.8558,50.16,53,20,8.05
Chabahar,IR,1633809028,25.2919,60.643,82.89,69,0,5.46
Plérin,FR,1633809031,48.5425,-2.7798,58.44,89,75,1.99
Bathsheba,BB,1633809033,13.2167,-59.5167,84.81,79,40,16.11
Saint George,US,1633809034,37.1041,-113.5841,73.63,46,1,1.99
Jutaí,BR,1633809035,-5.1833,-68.9,94.44,40,72,0.4
Okhotsk,RU,1633809037,59.3833,143.3,24.57,79,7,9.95
Cervo,ES,1633809038,43.6702,-7.4101,63.97,87,100,16.49
Maragogi,BR,1633809039,-9.0122,-35.2225,77.04,74,74,8.75
Nador,MA,1633809041,35.174,-2.9287,70.05,73,0,6.91
Port Elizabeth,ZA,1633809042,-33.918,25.5701,59.09,72,0,14.61
Pisco,PE,1633809044,-13.7,-76.2167,67.01,72,0,11.5
Ningxiang,CN,1633809046,37.34,111.2052,40.6,57,93,8.9
Yar-Sale,RU,1633809047,66.8333,70.8333,28.62,82,15,15.86
Oddur,SO,1633809048,4.1213,43.8894,75.88,72,82,15.1
Ulladulla,AU,1633809050,-35.35,150.4667,61.7,90,100,11.16
Porto-Vecchio,FR,1633809051,41.591,9.2795,63.86,94,90,3.44
Almeria,ES,1633809052,37.1667,-2.3333,66.15,82,99,5.82
Bengkulu,ID,1633809054,-3.8004,102.2655,76.78,92,26,5.14
New Norfolk,AU,1633809055,-42.7826,147.0587,45.9,66,66,3.0
Shakawe,BW,1633809057,-18.3667,21.85,76.98,11,11,4.0
Portland,US,1633808428,45.5234,-122.6762,63.41,74,75,1.99
Boyabat,TR,1633809059,41.4689,34.7667,56.07,91,10,0.89
Bud,US,1633809061,39.447,-86.1758,83.84,61,21,10.11
Tahoua,NE,1633809062,14.8888,5.2692,89.58,23,0,0.0
Sangar,RU,1633809064,63.9242,127.4739,28.99,98,100,9.86
Vaini,TO,1633809066,-21.2,-175.2,71.76,94,40,1.14
Ganzhou,CN,1633809067,28.8184,115.4327,73.31,87,100,5.48
Mercedes,AR,1633809068,-34.6515,-59.4307,71.51,43,4,11.81
Leningradskiy,RU,1633808838,69.3833,178.4167,15.66,95,99,4.5
Stettler,CA,1633809072,52.3168,-112.7186,56.95,24,0,11.5
Ilovlya,RU,1633809073,49.3033,43.9796,42.1,58,100,4.59
Lima,PE,1633809018,-12.0432,-77.0282,64.13,72,90,8.05
Visby,SE,1633809076,57.6409,18.296,51.85,93,90,9.22
Mosquera,CO,1633808915,4.7059,-74.2302,64.49,72,40,13.8
Sahuaripa,MX,1633809078,29.05,-109.2333,96.87,19,0,4.61
Moranbah,AU,1633808972,-22.0016,148.0466,65.01,84,0,11.61
Avera,US,1633809081,33.194,-82.5271,80.38,64,42,9.73
Nabire,ID,1633809082,-3.3667,135.4833,76.89,92,100,2.26
Port Hedland,AU,1633809084,-20.3167,118.5667,64.45,88,0,6.91
